#n	MPI	OMP
64	0.0044	0.0070
128	0.0193	0.0300
256	0.0548	0.0530
512	0.0606	0.3079
1024	0.6152	0.5195
2048	0.6295	0.5763
4096	0.6417	0.6194
8192	0.6693	0.6334
16384	0.6899	0.6405

